ano,senioridade,contrato,cargo,salario,moeda,usd,residencia,remoto,empresa,tamanho_empresa,residencia_iso3
2025,SENIOR,FULL TIME,PRODUCT MANAGER,100000,USD,100000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOFTWARE DEVELOPER,199100,USD,199100,JP,PRESENCIAL,JP,MEDIA,JPN
2025,SENIOR,FULL TIME,SOFTWARE DEVELOPER,94800,USD,94800,JP,PRESENCIAL,JP,MEDIA,JPN
2025,SENIOR,FULL TIME,ENGINEER,170000,USD,170000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ENGINEER,130000,USD,130000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DEVELOPER,150000,USD,150000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DEVELOPER,114000,USD,114000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,54785,GBP,69348,GB,PRESENCIAL,GB,MEDIA,GBR
2025,PLENO,FULL TIME,DATA ENGINEER,42180,GBP,53392,GB,PRESENCIAL,GB,MEDIA,GBR
2025,SENIOR,FULL TIME,DATA ENGINEER,104000,USD,104000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ENGINEER,72800,USD,72800,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ANALYST,55114,GBP,69764,GB,PRESENCIAL,GB,MEDIA,GBR
2025,SENIOR,FULL TIME,DATA ANALYST,40736,GBP,51564,GB,PRESENCIAL,GB,MEDIA,GBR
2025,JUNIOR,FULL TIME,DATA ANALYST,324000,MXN,15890,MX,PRESENCIAL,MX,MEDIA,MEX
2025,JUNIOR,FULL TIME,DATA ANALYST,122870,USD,122870,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,DATA ANALYST,94945,USD,94945,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,CONTRATO TEMPORARIO,DATA ANALYST,74000,USD,74000,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,CONTRATO TEMPORARIO,DATA ANALYST,70000,USD,70000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,CONSULTANT,72000,EUR,75789,NL,PRESENCIAL,NL,MEDIA,NLD
2025,PLENO,FULL TIME,CONSULTANT,36000,EUR,37894,NL,PRESENCIAL,NL,MEDIA,NLD
2025,PLENO,FULL TIME,DATA SPECIALIST,32000,EUR,33684,ES,PRESENCIAL,ES,MEDIA,ESP
2025,PLENO,FULL TIME,DATA SPECIALIST,28000,EUR,29473,ES,PRESENCIAL,ES,MEDIA,ESP
2025,SENIOR,FULL TIME,MANAGER,160380,USD,160380,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,MANAGER,123930,USD,123930,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOLUTIONS ENGINEER,170000,USD,170000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOLUTIONS ENGINEER,110000,USD,110000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOLUTIONS ENGINEER,170000,USD,170000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOLUTIONS ENGINEER,110000,USD,110000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA SCIENTIST,258000,USD,258000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA SCIENTIST,119800,USD,119800,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,149800,USD,149800,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,90210,USD,90210,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,MANAGER,222600,USD,222600,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,MANAGER,106400,USD,106400,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,CONTRATO TEMPORARIO,SOFTWARE ENGINEER,162000,USD,162000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,CONTRATO TEMPORARIO,SOFTWARE ENGINEER,140000,USD,140000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA SCIENTIST,175074,USD,175074,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA SCIENTIST,79560,USD,79560,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOFTWARE DEVELOPER,223400,USD,223400,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOFTWARE DEVELOPER,96800,USD,96800,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,RESEARCH SCIENTIST,202000,USD,202000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,RESEARCH SCIENTIST,146000,USD,146000,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,PART TIME,ANALYST,130514,USD,130514,AU,PRESENCIAL,AU,MEDIA,AUS
2025,JUNIOR,PART TIME,ANALYST,115240,USD,115240,AU,PRESENCIAL,AU,MEDIA,AUS
2025,SENIOR,FULL TIME,SOFTWARE ENGINEER,160000,USD,160000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOFTWARE ENGINEER,130000,USD,130000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOFTWARE ARCHITECT,233450,USD,233450,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOFTWARE ARCHITECT,141950,USD,141950,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,100000,USD,100000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,61000,USD,61000,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,DATA MANAGEMENT ANALYST,73116,USD,73116,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,DATA MANAGEMENT ANALYST,73116,USD,73116,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,RESEARCH SCIENTIST,175392,USD,175392,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,RESEARCH SCIENTIST,122774,USD,122774,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ENGINEER,150000,USD,150000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ENGINEER,130000,USD,130000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,124000,USD,124000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,77000,USD,77000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ANALYST,120000,USD,120000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ANALYST,90000,USD,90000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ANALYST,122000,USD,122000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ANALYST,78000,USD,78000,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,DATA ANALYST,110000,USD,110000,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,DATA ANALYST,70000,USD,70000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA REPORTER,70000,USD,70000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA REPORTER,60000,USD,60000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,COMPUTATIONAL BIOLOGIST,124200,USD,124200,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,COMPUTATIONAL BIOLOGIST,77000,USD,77000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,APPLIED SCIENTIST,258000,USD,258000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,APPLIED SCIENTIST,119800,USD,119800,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ENGINEER,163000,USD,163000,CA,PRESENCIAL,CA,MEDIA,CAN
2025,SENIOR,FULL TIME,ENGINEER,80000,USD,80000,CA,PRESENCIAL,CA,MEDIA,CAN
2025,SENIOR,FULL TIME,DIRECTOR,309500,USD,309500,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DIRECTOR,185700,USD,185700,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,192000,USD,192000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,92100,USD,92100,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,192000,USD,192000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,92100,USD,92100,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,39000,EUR,41052,ES,PRESENCIAL,ES,MEDIA,ESP
2025,PLENO,FULL TIME,MANAGER,33000,EUR,34736,ES,PRESENCIAL,ES,MEDIA,ESP
2025,SENIOR,FULL TIME,ANALYST,243340,USD,243340,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ANALYST,127310,USD,127310,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,203000,USD,203000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,123000,USD,123000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ENGINEER,165000,USD,165000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ENGINEER,135000,USD,135000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ENGINEER,280500,USD,280500,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ENGINEER,204000,USD,204000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,203000,USD,203000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,123000,USD,123000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,175400,USD,175400,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,106300,USD,106300,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,PRODUCT DESIGNER,125000,USD,125000,CA,REMOTO,CA,MEDIA,CAN
2025,PLENO,FULL TIME,PRODUCT DESIGNER,114000,USD,114000,CA,REMOTO,CA,MEDIA,CAN
2025,PLENO,FULL TIME,DATA SCIENTIST,117000,USD,117000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA SCIENTIST,90000,USD,90000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ANALYST,123700,USD,123700,US,REMOTO,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ANALYST,68700,USD,68700,US,REMOTO,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ANALYST,123700,USD,123700,US,REMOTO,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ANALYST,68700,USD,68700,US,REMOTO,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ANALYST,149900,USD,149900,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ANALYST,75500,USD,75500,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ENGINEER,135000,USD,135000,US,REMOTO,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ENGINEER,101250,USD,101250,US,REMOTO,US,MEDIA,USA
2025,JUNIOR,FULL TIME,DATA ANALYST,19956,EUR,21006,FR,PRESENCIAL,FR,MEDIA,FRA
2025,JUNIOR,FULL TIME,DATA ANALYST,17712,EUR,18644,FR,PRESENCIAL,FR,MEDIA,FRA
2025,PLENO,FULL TIME,DATA SPECIALIST,141440,USD,141440,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA SPECIALIST,96720,USD,96720,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,CONSULTANT,217200,USD,217200,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,CONSULTANT,111100,USD,111100,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ANALYST,200000,USD,200000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ANALYST,175947,USD,175947,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ANALYST,212000,USD,212000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ANALYST,212000,USD,212000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,284000,USD,284000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,162000,USD,162000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,SOFTWARE DEVELOPMENT ENGINEER,179000,USD,179000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,SOFTWARE DEVELOPMENT ENGINEER,112000,USD,112000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ARCHITECT,153925,USD,153925,US,REMOTO,US,MEDIA,USA
2025,SENIOR,FULL TIME,ARCHITECT,85150,USD,85150,US,REMOTO,US,MEDIA,USA
2025,PLENO,FULL TIME,ENGINEER,106200,USD,106200,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ENGINEER,57200,USD,57200,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ENGINEER,176000,USD,176000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ENGINEER,128000,USD,128000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOFTWARE ENGINEER,248594,USD,248594,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOFTWARE ENGINEER,177567,USD,177567,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ANALYST,101500,USD,101500,CA,PRESENCIAL,CA,MEDIA,CAN
2025,SENIOR,FULL TIME,DATA ANALYST,54500,USD,54500,CA,PRESENCIAL,CA,MEDIA,CAN
2025,PLENO,FULL TIME,DATA ANALYTICS MANAGER,195000,USD,195000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ANALYTICS MANAGER,105000,USD,105000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,PRINCIPAL STATISTICAL PROGRAMMER,273200,USD,273200,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,PRINCIPAL STATISTICAL PROGRAMMER,88300,USD,88300,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,235300,USD,235300,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,84400,USD,84400,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,245985,USD,245985,US,REMOTO,US,MEDIA,USA
2025,PLENO,FULL TIME,ASSOCIATE,164530,USD,164530,US,REMOTO,US,MEDIA,USA
2025,JUNIOR,FULL TIME,SOFTWARE ENGINEER,107000,USD,107000,MT,PRESENCIAL,MT,MEDIA,MLT
2025,JUNIOR,FULL TIME,SOFTWARE ENGINEER,52500,USD,52500,MT,PRESENCIAL,MT,MEDIA,MLT
2025,SENIOR,FULL TIME,ANALYST,131747,USD,131747,US,REMOTO,US,MEDIA,USA
2025,SENIOR,FULL TIME,ANALYST,80849,USD,80849,US,REMOTO,US,MEDIA,USA
2025,SENIOR,FULL TIME,ANALYST,109000,USD,109000,CA,PRESENCIAL,CA,MEDIA,CAN
2025,SENIOR,FULL TIME,ANALYST,77000,USD,77000,CA,PRESENCIAL,CA,MEDIA,CAN
2025,PLENO,FULL TIME,MANAGER,126000,USD,126000,CA,PRESENCIAL,CA,MEDIA,CAN
2025,PLENO,FULL TIME,MANAGER,68000,USD,68000,CA,PRESENCIAL,CA,MEDIA,CAN
2025,EXECUTIVO,FULL TIME,DIRECTOR,145000,USD,145000,US,PRESENCIAL,US,MEDIA,USA
2025,EXECUTIVO,FULL TIME,DIRECTOR,115000,USD,115000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,MANAGER,222600,USD,222600,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,MANAGER,120000,USD,120000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,MANAGER,187200,USD,187200,CA,PRESENCIAL,CA,MEDIA,CAN
2025,SENIOR,FULL TIME,MANAGER,100800,USD,100800,CA,PRESENCIAL,CA,MEDIA,CAN
2025,EXECUTIVO,FULL TIME,DIRECTOR,261800,USD,261800,US,PRESENCIAL,US,MEDIA,USA
2025,EXECUTIVO,FULL TIME,DIRECTOR,140800,USD,140800,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,CLOUD ENGINEER,198200,USD,198200,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,CLOUD ENGINEER,94400,USD,94400,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,119875,USD,119875,CA,PRESENCIAL,CA,MEDIA,CAN
2025,PLENO,FULL TIME,MANAGER,71925,USD,71925,CA,PRESENCIAL,CA,MEDIA,CAN
2025,SENIOR,FULL TIME,SOFTWARE ENGINEER,192050,USD,192050,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,SOFTWARE ENGINEER,118150,USD,118150,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ENGINEER,169050,USD,169050,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ENGINEER,124950,USD,124950,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ARCHITECT,198000,USD,198000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ARCHITECT,86900,USD,86900,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ARCHITECT,163116,USD,163116,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ARCHITECT,97870,USD,97870,US,PRESENCIAL,US,MEDIA,USA
2025,EXECUTIVO,FULL TIME,DATA ANALYST,85000,USD,85000,US,PRESENCIAL,US,MEDIA,USA
2025,EXECUTIVO,FULL TIME,DATA ANALYST,75000,USD,75000,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,DATA ANALYST,141000,USD,141000,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,DATA ANALYST,61900,USD,61900,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ENGINEER,286300,USD,286300,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ENGINEER,163600,USD,163600,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,PRODUCT OWNER,212333,USD,212333,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,PRODUCT OWNER,147000,USD,147000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,PRODUCT OWNER,180967,USD,180967,CA,PRESENCIAL,CA,MEDIA,CAN
2025,SENIOR,FULL TIME,PRODUCT OWNER,125300,USD,125300,CA,PRESENCIAL,CA,MEDIA,CAN
2025,SENIOR,FULL TIME,DATA SCIENTIST,115000,GBP,145569,GB,PRESENCIAL,GB,MEDIA,GBR
2025,SENIOR,FULL TIME,DATA SCIENTIST,85000,GBP,107594,GB,PRESENCIAL,GB,MEDIA,GBR
2025,PLENO,FULL TIME,DATA SCIENTIST,121956,USD,121956,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA SCIENTIST,93974,USD,93974,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA SCIENTIST,98817,USD,98817,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA SCIENTIST,74113,USD,74113,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ENGINEER,193820,USD,193820,US,REMOTO,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ENGINEER,140960,USD,140960,US,REMOTO,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,143000,USD,143000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,77000,USD,77000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,113000,USD,113000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,DATA ENGINEER,74000,USD,74000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,SOFTWARE ENGINEER,108212,USD,108212,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,SOFTWARE ENGINEER,69999,USD,69999,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,SOFTWARE ENGINEER,108212,USD,108212,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,SOFTWARE ENGINEER,69999,USD,69999,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ENGINEER,125000,USD,125000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,DATA ENGINEER,90000,USD,90000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ENGINEER,160000,USD,160000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ENGINEER,130000,USD,130000,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,118700,USD,118700,US,PRESENCIAL,US,MEDIA,USA
2025,PLENO,FULL TIME,MANAGER,79100,USD,79100,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,PRODUCT MANAGER,233000,USD,233000,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,PRODUCT MANAGER,144000,USD,144000,US,PRESENCIAL,US,MEDIA,USA
2025,EXECUTIVO,FULL TIME,EXECUTIVE,122634,USD,122634,US,PRESENCIAL,US,MEDIA,USA
2025,EXECUTIVO,FULL TIME,EXECUTIVE,113443,USD,113443,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,ANALYST,100500,USD,100500,US,PRESENCIAL,US,MEDIA,USA
2025,JUNIOR,FULL TIME,ANALYST,60300,USD,60300,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ANALYST,122600,USD,122600,US,PRESENCIAL,US,MEDIA,USA
2025,SENIOR,FULL TIME,ANALYST,73000,USD,73000,US,PRESENCIAL,US,MEDIA,USA
